504.249.225.59 - - [28/Aug/1995:00:00:34 -0400] "GET http://www.google.com/pub/rmharris/catalogs/dawsocat/intro.html HTTP/1.0" 200 3542
world.std.com - - [28/Aug/1995:00:00:45 -0400] "GET http://www.quora.com/pub/atomicbk/catalog/new.gif HTTP/1.0" 200 744
ppp19.glas.apc.org - - [28/Aug/1995:00:00:45 -0400] "GET http://www.facebook.com/atomicbk/promo.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:45 -0400] "GET http://www.datadog.com/atomicbk/news.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:46 -0400] "GET http://www.facebook.com/atomicbk/new.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:46 -0400] "GET http://www.datadog.com/atomicbk/catalog.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:46 -0400] "GET http://www.facebook.com/atomicbk/logo2.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:46 -0400] "GET http://www.facebook.com/atomicbk/emboss.jpg HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:46 -0400] "GET http://www.facebook.com/atomicbk/direct.gif HTTP/1.0" 304 -
cssu24.cs.ust.hk - - [28/Aug/1995:00:00:46 -0400] "GET http://www.datadog.com/pub/job/vk/v-line.gif HTTP/1.0" 200 1254
ppp19.glas.apc.org - - [28/Aug/1995:00:00:48 -0400] "GET http://www.facebook.com/atomicbk/scotth.gif HTTP/1.0" 200 790
freenet3.scri.fsu.edu - - [28/Aug/1995:00:00:48 -0400] "GET http://www.datadog.com/pub/rjgula/network.htm HTTP/1.0" 200 2017
ppp19.glas.apc.org - - [28/Aug/1995:00:00:48 -0400] "GET http://www.facebook.com/atomicbk/orders.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:00:48 -0400] "GET http://www.quora.com/atomicbk/seanc.gif HTTP/1.0" 200 734
kuts4p01.cc.ukans.edu - - [28/Aug/1995:00:00:49 -0400] "GET http://www.datadog.com/pub/sshay/home.html HTTP/1.0" 200 3145
access9.accsyst.com - - [28/Aug/1995:00:00:49 -0400] "GET http://www.quora.com/pub/robert/robert7.gif HTTP/1.0" 200 14787
world.std.com - - [28/Aug/1995:00:00:51 -0400] "GET http://www.quora.com/pub/atomicbk/catalog/orders.gif HTTP/1.0" 200 800
ppp-a2.ulaval.ca - - [28/Aug/1995:00:00:52 -0400] "GET http://www.datadog.com/pub/job/vk/flowers1.gif HTTP/1.0" 200 4288
world.std.com - - [28/Aug/1995:00:00:54 -0400] "GET http://www.datadog.com/pub/atomicbk/catalog/mini.gif HTTP/1.0" 200 360
piweba4y.prodigy.com - - [28/Aug/1995:00:00:55 -0400] "GET http://www.facebook.com/larouche/waco.html HTTP/1.0" 200 14041
Loki.async.smsu.edu - - [28/Aug/1995:00:00:55 -0400] "GET http://www.facebook.com/pub/ahasuer/heinlein/about.html HTTP/1.0" 200 7173
ppp19.glas.apc.org - - [28/Aug/1995:00:00:55 -0400] "GET http://www.facebook.com/atomicbk/images/atomgirl.jpg HTTP/1.0" 200 34164
ppp19.glas.apc.org - - [28/Aug/1995:00:00:55 -0400] "GET http://www.google.com/atomicbk/shocked/shocked.jpg HTTP/1.0" 200 43819
cssu24.cs.ust.hk - - [28/Aug/1995:00:00:57 -0400] "GET http://www.datadog.com/pub/job/vk/view19.jpg HTTP/1.0" 200 3915
freenet3.scri.fsu.edu - - [28/Aug/1995:00:00:59 -0400] "GET http://www.datadog.com/pub/rjgula/os.htm HTTP/1.0" 200 9175
kuts4p01.cc.ukans.edu - - [28/Aug/1995:00:01:00 -0400] "GET http://www.datadog.com/pub/sshay/home.html HTTP/1.0" 200 3145
205.168.106.58 - - [28/Aug/1995:00:01:01 -0400] "GET http://www.datadog.com/pub/bsleeper/CafeMac.GIF HTTP/1.0" 200 26876
shep102.wustl.edu - - [28/Aug/1995:00:01:01 -0400] "GET http://www.facebook.com/pub/pribut/chess.html HTTP/1.0" 200 6585
shep102.wustl.edu - - [28/Aug/1995:00:01:01 -0400] "GET http://www.datadog.com/pub/pribut/paperbkg.gif HTTP/1.0" 200 3727
dialup522.Bloomington.mci.net - - [28/Aug/1995:00:01:04 -0400] "GET http://www.datadog.com/pub/pribut/fancylin.gif HTTP/1.0" 200 2392
dialup522.Bloomington.mci.net - - [28/Aug/1995:00:01:04 -0400] "GET http://www.datadog.com/pub/pribut/back.gif HTTP/1.0" 200 713
165.113.1.43 - - [28/Aug/1995:00:01:04 -0400] "GET http://www.datadog.com/pub/atomicbk/home.html HTTP/1.0" 200 4051
shep102.wustl.edu - - [28/Aug/1995:00:01:05 -0400] "GET http://www.quora.com/pub/pribut/chess1.gif HTTP/1.0" 200 16254
shep102.wustl.edu - - [28/Aug/1995:00:01:06 -0400] "GET http://www.facebook.com/pub/pribut/fancylin.gif HTTP/1.0" 200 2392
er6.rutgers.edu - - [28/Aug/1995:00:01:06 -0400] "GET http://www.quora.com/pub/rjgula/attacks.htm HTTP/1.0" 200 6950
shep102.wustl.edu - - [28/Aug/1995:00:01:07 -0400] "GET http://www.quora.com/pub/pribut/redbal.gif HTTP/1.0" 200 331
ppp19.glas.apc.org - - [28/Aug/1995:00:01:07 -0400] "GET http://www.facebook.com/atomicbk/new/new.html HTTP/1.0" 304 -
shep102.wustl.edu - - [28/Aug/1995:00:01:08 -0400] "GET http://www.datadog.com/pub/pribut/new.gif HTTP/1.0" 200 147
shep102.wustl.edu - - [28/Aug/1995:00:01:08 -0400] "GET http://www.facebook.com/pub/pribut/gold-hot.gif HTTP/1.0" 200 1193
crl12.crl.com - - [28/Aug/1995:00:01:08 -0400] "GET http://www.google.com/pub/atomicbk/emboss.jpg HTTP/1.0" 200 4741
crl12.crl.com - - [28/Aug/1995:00:01:09 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog.gif HTTP/1.0" 200 693
crl12.crl.com - - [28/Aug/1995:00:01:09 -0400] "GET http://www.google.com/pub/atomicbk/new.gif HTTP/1.0" 200 744
shep102.wustl.edu - - [28/Aug/1995:00:01:09 -0400] "GET http://www.facebook.com/pub/pribut/back.gif HTTP/1.0" 200 713
crl12.crl.com - - [28/Aug/1995:00:01:09 -0400] "GET http://www.quora.com/pub/atomicbk/logo2.gif HTTP/1.0" 200 12871
shep102.wustl.edu - - [28/Aug/1995:00:01:10 -0400] "GET http://www.datadog.com/pub/pribut/upbtn.gif HTTP/1.0" 200 145
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:10 -0400] "GET http://www.quora.com/pub/show/tickets.html HTTP/1.0" 200 4260
ppp19.glas.apc.org - - [28/Aug/1995:00:01:10 -0400] "GET http://www.google.com/atomicbk/new/emboss.jpg HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:01:10 -0400] "GET http://www.quora.com/atomicbk/new/home.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:01:10 -0400] "GET http://www.google.com/atomicbk/new/catalog.gif HTTP/1.0" 304 -
shep102.wustl.edu - - [28/Aug/1995:00:01:10 -0400] "GET http://www.datadog.com/pub/pribut/email2.gif HTTP/1.0" 200 1209
crl12.crl.com - - [28/Aug/1995:00:01:11 -0400] "GET http://www.datadog.com/pub/atomicbk/orders.gif HTTP/1.0" 200 800
scooter.pa-x.dec.com - - [28/Aug/1995:00:01:11 -0400] "GET http://www.facebook.com/pub/wsg/html/jan/morecat.html HTTP/1.0" 404 207
ppp19.glas.apc.org - - [28/Aug/1995:00:01:12 -0400] "GET http://www.facebook.com/atomicbk/new/email.gif HTTP/1.0" 200 756
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:12 -0400] "GET http://www.quora.com/pub/show/sblogbt1.gif HTTP/1.0" 304 -
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:12 -0400] "GET http://www.datadog.com/pub/show/pblogrt1.gif HTTP/1.0" 304 -
crl12.crl.com - - [28/Aug/1995:00:01:13 -0400] "GET http://www.google.com/pub/atomicbk/contest.gif HTTP/1.0" 200 669
crl12.crl.com - - [28/Aug/1995:00:01:13 -0400] "GET http://www.google.com/pub/atomicbk/artgal.gif HTTP/1.0" 200 823
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:13 -0400] "GET http://www.facebook.com/pub/show/rope.gif HTTP/1.0" 304 -
ppp19.glas.apc.org - - [28/Aug/1995:00:01:14 -0400] "GET http://www.facebook.com/atomicbk/new/orders.gif HTTP/1.0" 200 800
ari.ari.net - - [28/Aug/1995:00:01:15 -0400] "GET http://www.google.com/html/faq.html HTTP/1.0" 200 4855
alweiner.clark.net - - [28/Aug/1995:00:01:15 -0400] "GET http://www.facebook.com/pub/alweiner/cgi-bin/homepage.cgi?game HTTP/1.0" 200 2131
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:17 -0400] "GET http://www.facebook.com/pub/show/rope.gif HTTP/1.0" 304 -
alweiner.clark.net - - [28/Aug/1995:00:01:17 -0400] "GET http://www.quora.com/pub/alweiner/home.gif HTTP/1.0" 200 372
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:17 -0400] "GET http://www.facebook.com/pub/show/azlog2.gif HTTP/1.0" 304 -
alweiner.clark.net - - [28/Aug/1995:00:01:17 -0400] "GET http://www.google.com/pub/alweiner/work/spacer10.gif HTTP/1.0" 200 44
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:18 -0400] "GET http://www.datadog.com/pub/peace/PeaceCorps.html HTTP/1.0" 200 510
crl12.crl.com - - [28/Aug/1995:00:01:20 -0400] "GET http://www.facebook.com/pub/atomicbk/news.gif HTTP/1.0" 200 912
crl12.crl.com - - [28/Aug/1995:00:01:20 -0400] "GET http://www.facebook.com/pub/atomicbk/promo.gif HTTP/1.0" 200 849
er6.rutgers.edu - - [28/Aug/1995:00:01:20 -0400] "GET http://www.quora.com/pub/rjgula/attacks/ftpd/ciacftp.txt HTTP/1.0" 200 515
crl12.crl.com - - [28/Aug/1995:00:01:20 -0400] "GET http://www.facebook.com/pub/atomicbk/email.gif HTTP/1.0" 200 756
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:21 -0400] "GET http://www.quora.com/pub/peace/PeaceCorps1.html HTTP/1.0" 200 1208
Loki.async.smsu.edu - - [28/Aug/1995:00:01:22 -0400] "GET http://www.datadog.com/pub/ahasuer/heinlein/order.html HTTP/1.0" 200 1563
crl12.crl.com - - [28/Aug/1995:00:01:23 -0400] "GET http://www.datadog.com/pub/atomicbk/scotth.gif HTTP/1.0" 200 790
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:25 -0400] "GET http://www.google.com/pub/peace/VRS1.html HTTP/1.0" 200 1951
shep102.wustl.edu - - [28/Aug/1995:00:01:27 -0400] "GET http://www.facebook.com/pub/pribut/spsport.html HTTP/1.0" 200 3589
lin-ppp.clark.net - - [28/Aug/1995:00:01:28 -0400] "GET http://www.facebook.com/pub/wendi/ HTTP/1.0" 304 -
crl12.crl.com - - [28/Aug/1995:00:01:28 -0400] "GET http://www.google.com/pub/atomicbk/direct.gif HTTP/1.0" 200 833
crl12.crl.com - - [28/Aug/1995:00:01:28 -0400] "GET http://www.quora.com/pub/atomicbk/seanc.gif HTTP/1.0" 200 734
shep102.wustl.edu - - [28/Aug/1995:00:01:28 -0400] "GET http://www.google.com/pub/pribut/backgrou.gif HTTP/1.0" 200 5841
ppp19.glas.apc.org - - [28/Aug/1995:00:01:28 -0400] "GET http://www.google.com/atomicbk/new/logo2.gif HTTP/1.0" 200 12871
shep102.wustl.edu - - [28/Aug/1995:00:01:30 -0400] "GET http://www.google.com/pub/pribut/idea.gif HTTP/1.0" 200 909
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:30 -0400] "GET http://www.google.com/pub/peace/VRS3.html HTTP/1.0" 200 2563
shep102.wustl.edu - - [28/Aug/1995:00:01:31 -0400] "GET http://www.datadog.com/pub/pribut/link3.gif HTTP/1.0" 200 3184
130.34.146.126 - - [28/Aug/1995:00:01:31 -0400] "GET http://www.google.com/pub/lschank/web/line2.gif HTTP/1.0" 200 267
137.198.11.104 - - [28/Aug/1995:00:01:31 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/adultcom.html HTTP/1.0" 200 8705
130.34.146.126 - - [28/Aug/1995:00:01:32 -0400] "GET http://www.google.com/pub/lschank/web/fwd.gif HTTP/1.0" 200 275
shep102.wustl.edu - - [28/Aug/1995:00:01:32 -0400] "GET http://www.facebook.com/pub/pribut/5percmdt.gif HTTP/1.0" 200 3678
130.34.146.126 - - [28/Aug/1995:00:01:32 -0400] "GET http://www.facebook.com/pub/lschank/web/back.gif HTTP/1.0" 200 883
shep102.wustl.edu - - [28/Aug/1995:00:01:33 -0400] "GET http://www.quora.com/pub/pribut/b_netsca.gif HTTP/1.0" 200 426
alweiner.clark.net - - [28/Aug/1995:00:01:34 -0400] "GET http://www.google.com/pub/alweiner/backgrounds/tile.gif HTTP/1.0" 200 8047
alweiner.clark.net - - [28/Aug/1995:00:01:34 -0400] "GET http://www.facebook.com/pub/alweiner/barbed_w.gif HTTP/1.0" 200 1448
crl12.crl.com - - [28/Aug/1995:00:01:35 -0400] "GET http://www.google.com/pub/atomicbk/bobk.gif HTTP/1.0" 200 816
crl12.crl.com - - [28/Aug/1995:00:01:35 -0400] "GET http://www.quora.com/pub/atomicbk/bizlink.gif HTTP/1.0" 200 726
204.50.56.205 - - [28/Aug/1995:00:01:37 -0400] "GET http://www.quora.com/pub/mikebilt/gaydc.html HTTP/1.0" 200 6423
crl12.crl.com - - [28/Aug/1995:00:01:40 -0400] "GET http://www.google.com/atomicbk/images/atomgirl.jpg HTTP/1.0" 200 34164
ppp-mia-94.shadow.net - - [28/Aug/1995:00:01:40 -0400] "GET http://www.quora.com/pub/robert/current.html HTTP/1.0" 200 30337
asn6.whidbey.net - - [28/Aug/1995:00:01:41 -0400] "GET http://www.facebook.com/pub/k2/suv/suv.htm HTTP/1.0" 200 778
alweiner.clark.net - - [28/Aug/1995:00:01:41 -0400] "GET http://www.quora.com/pub/alweiner/cgi-bin/homepage.cgi HTTP/1.0" 200 10957
debasement.clark.net - - [28/Aug/1995:00:01:42 -0400] "GET http://www.google.com/pub/tblake/www/ HTTP/1.0" 200 3054
crl12.crl.com - - [28/Aug/1995:00:01:43 -0400] "GET http://www.google.com/pub/atomicbk/userlink.gif HTTP/1.0" 200 816
freenet3.scri.fsu.edu - - [28/Aug/1995:00:01:43 -0400] "GET http://www.quora.com/pub/rjgula/os/vax/ciacmont.txt HTTP/1.0" 200 741
crl12.crl.com - - [28/Aug/1995:00:01:43 -0400] "GET http://www.google.com/pub/atomicbk/stats.gif HTTP/1.0" 200 771
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:43 -0400] "POST /pub/aztec/cgi-bin/test/tickchk.pl HTTP/1.0" 404 323
asn6.whidbey.net - - [28/Aug/1995:00:01:44 -0400] "GET http://www.facebook.com/pub/k2/am4x44u/gifs/black.jpg HTTP/1.0" 200 761
ikd7.info.gifu-u.ac.jp - - [28/Aug/1995:00:01:44 -0400] "GET http://www.google.com/pub/terra/news-aug16 HTTP/1.0" 200 755
pfgc.mindspring.com - - [28/Aug/1995:00:01:46 -0400] "GET http://www.google.com/pub/wick/ HTTP/1.0" 200 1923
dialup522.Bloomington.mci.net - - [28/Aug/1995:00:01:47 -0400] "GET http://www.google.com/pub/pribut/spgait.html HTTP/1.0" 200 24163
piweba5y.prodigy.com - - [28/Aug/1995:00:01:47 -0400] "GET http://www.google.com/pub/jeffd/rushpage.html HTTP/1.0" 200 3801
metronet.lib.mi.us - - [28/Aug/1995:00:01:48 -0400] "GET http://www.datadog.com/pub/journalism/info.wav HTTP/1.0" 200 38572
er6.rutgers.edu - - [28/Aug/1995:00:01:48 -0400] "GET http://www.quora.com/pub/rjgula/attacks/ftpd/siteexec.txt HTTP/1.0" 200 1536
dialup040.cc.columbia.edu - - [28/Aug/1995:00:01:49 -0400] "GET http://www.quora.com/pub/jeffd/grad_lin.gif HTTP/1.0" 200 3346
dialup040.cc.columbia.edu - - [28/Aug/1995:00:01:49 -0400] "GET http://www.facebook.com/pub/jeffd/spcornr.gif HTTP/1.0" 200 7584
prpayne-ppp.clark.net - - [28/Aug/1995:00:01:49 -0400] "POST /pub/aztec/cgi-bin/test/tickchk.pl HTTP/1.0" 404 323
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:01:49 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/home.gif HTTP/1.0" 200 813
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:01:50 -0400] "GET http://www.google.com/pub/atomicbk/catalog/new.gif HTTP/1.0" 200 744
130.34.146.126 - - [28/Aug/1995:00:01:50 -0400] "GET http://www.google.com/pub/lschank/human.txt HTTP/1.0" 200 35061
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:50 -0400] "GET http://www.quora.com/pub/peace/VRS9.html HTTP/1.0" 200 2187
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:01:50 -0400] "GET http://www.quora.com/pub/atomicbk/catalog/catalog.gif HTTP/1.0" 200 693
debasement.clark.net - - [28/Aug/1995:00:01:52 -0400] "GET http://www.quora.com/pub/tblake/www/lich.gif HTTP/1.0" 304 -
debasement.clark.net - - [28/Aug/1995:00:01:52 -0400] "GET http://www.facebook.com/pub/tblake/www/aacc.gif HTTP/1.0" 304 -
debasement.clark.net - - [28/Aug/1995:00:01:53 -0400] "GET http://www.google.com/pub/tblake/www/button1.gif HTTP/1.0" 304 -
debasement.clark.net - - [28/Aug/1995:00:01:54 -0400] "GET http://www.facebook.com/pub/tblake/www/intel.gif HTTP/1.0" 304 -
pfgc.mindspring.com - - [28/Aug/1995:00:01:54 -0400] "GET http://www.facebook.com/pub/wick/misc/speaker.gif HTTP/1.0" 200 956
debasement.clark.net - - [28/Aug/1995:00:01:55 -0400] "GET http://www.google.com/pub/tblake/www/home.gif HTTP/1.0" 304 -
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:01:55 -0400] "GET http://www.datadog.com/pub/atomicbk/catalog/orders.gif HTTP/1.0" 200 800
dialup040.cc.columbia.edu - - [28/Aug/1995:00:01:55 -0400] "GET http://www.facebook.com/pub/jeffd/mr_newt.html HTTP/1.0" 200 8305
pwpark.remote.Princeton.EDU - - [28/Aug/1995:00:01:56 -0400] "GET http://www.datadog.com/pub/peace/FAQ4.html HTTP/1.0" 200 2518
pipe3.nyc.pipeline.com - - [28/Aug/1995:00:01:56 -0400] "GET http://www.facebook.com/pub/journalism/awesome.html HTTP/1.0" 200 11610
204.249.225.59 - - [28/Aug/1995:00:01:58 -0400] "GET http://www.datadog.com/pub/rmharris/catalogs/dawsocat/byron.gif HTTP/1.0" 200 19465
ikd7.info.gifu-u.ac.jp - - [28/Aug/1995:00:01:58 -0400] "GET http://www.datadog.com/pub/terra/news-aug23 HTTP/1.0" 200 1664
www-d2.proxy.aol.com - - [28/Aug/1995:00:01:58 -0400] "GET http://www.facebook.com/pub/rjamesd/holycros.html HTTP/1.0" 200 4507
shep102.wustl.edu - - [28/Aug/1995:00:02:00 -0400] "GET http://www.quora.com/pub/pribut/sphome.html HTTP/1.0" 200 12324
shep102.wustl.edu - - [28/Aug/1995:00:02:01 -0400] "GET http://www.google.com/pub/pribut/egyptbar.gif HTTP/1.0" 200 1980
shep102.wustl.edu - - [28/Aug/1995:00:02:02 -0400] "GET http://www.facebook.com/pub/pribut/rlcone.gif HTTP/1.0" 200 280
shep102.wustl.edu - - [28/Aug/1995:00:02:03 -0400] "GET http://www.datadog.com/pub/pribut/rrcone.gif HTTP/1.0" 200 283
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:02:03 -0400] "GET http://www.google.com/pub/atomicbk/catalog/erotica.html HTTP/1.0" 200 11362
shep102.wustl.edu - - [28/Aug/1995:00:02:04 -0400] "GET http://www.facebook.com/pub/pribut/redblsm.gif HTTP/1.0" 200 269
alweiner.clark.net - - [28/Aug/1995:00:02:04 -0400] "GET http://www.quora.com/pub/alweiner/work/_0243T.gif HTTP/1.0" 200 813
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:04 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/catalog.gif HTTP/1.0" 200 693
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:04 -0400] "GET http://www.datadog.com/pub/atomicbk/catalog/erotica.html HTTP/1.0" 200 11362
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:04 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/home.gif HTTP/1.0" 200 813
shep102.wustl.edu - - [28/Aug/1995:00:02:04 -0400] "GET http://www.google.com/pub/pribut/sb-1-2.gif HTTP/1.0" 200 1253
dialup040.cc.columbia.edu - - [28/Aug/1995:00:02:04 -0400] "GET http://www.google.com/pub/jeffd/header.gif HTTP/1.0" 200 24376
dialup040.cc.columbia.edu - - [28/Aug/1995:00:02:05 -0400] "GET http://www.facebook.com/pub/jeffd/spkrnewt.gif HTTP/1.0" 200 45247
shep102.wustl.edu - - [28/Aug/1995:00:02:05 -0400] "GET http://www.quora.com/pub/pribut/kewl.gif HTTP/1.0" 200 1537
s254n034ppp15.csun.edu - - [28/Aug/1995:00:02:06 -0400] "GET http://www.facebook.com/pub/atomicbk/home.html HTTP/1.0" 200 4051
sl4.ndts1.dsu.NoDak.edu - - [28/Aug/1995:00:02:07 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/logo2.gif HTTP/1.0" 200 12871
asn6.whidbey.net - - [28/Aug/1995:00:02:08 -0400] "GET http://www.facebook.com/pub/k2/am4x44u/gifs/suvlogo.gif HTTP/1.0" 200 31777
ikd7.info.gifu-u.ac.jp - - [28/Aug/1995:00:02:09 -0400] "GET http://www.google.com/pub/terra/news-aug25 HTTP/1.0" 200 605
crl12.crl.com - - [28/Aug/1995:00:02:10 -0400] "GET http://www.google.com/atomicbk/catalog/catalog.html HTTP/1.0" 200 4654
asn6.whidbey.net - - [28/Aug/1995:00:02:11 -0400] "GET http://www.facebook.com/pub/k2/suv/suvindex.htm HTTP/1.0" 200 1403
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:11 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/new.gif HTTP/1.0" 200 744
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:11 -0400] "GET http://www.facebook.com/pub/atomicbk/catalog/logo2.gif HTTP/1.0" 200 12871
SLIP4A-03.DIALIN.UIC.EDU - - [28/Aug/1995:00:02:11 -0400] "GET http://www.facebook.com/atomicbk/catalog/new.gif HTTP/1.0" 200 744
3.bank2.dialup.ctenet.com - - [28/Aug/1995:00:02:12 -0400] "GET http://www.google.com/pub/atomicbk/catalog/orders.gif HTTP/1.0" 200 800
SSA10.HALLS.ColoState.EDU - - [28/Aug/1995:00:02:12 -0400] "GET http://www.datadog.com/ HTTP/1.0" 200 1834
SSA10.HALLS.ColoState.EDU - - [28/Aug/1995:00:02:12 -0400] "GET http://www.facebook.com/graphics/BUTTON1.GIF HTTP/1.0" 200 1434
SSA10.HALLS.ColoState.EDU - - [28/Aug/1995:00:02:12 -0400] "GET http://www.google.com/html/usage/usage.graph.small.gif HTTP/1.0" 200 145
s254n034ppp15.csun.edu - - [28/Aug/1995:00:02:12 -0400] "GET http://www.facebook.com/pub/atomicbk/emboss.jpg HTTP/1.0" 200 4741
